geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
BA,2013,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2013,RA000,Renewables and biofuels,TJ,"19387,2636","7465,985496","117,39787199999999","26970,646967999997"
BA,2013,TOTAL,Total,TJ,"49521,6","51909,28617600001","37669,39322400001","139100,27940000003"
BA,2013,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2014,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","16104,986748000001",,"16104,986748000001"
BA,2014,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2014,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2014,RA000,Renewables and biofuels,TJ,"19608,876","16694,990604","106,13538000000001","36410,001983999995"
BA,2014,TOTAL,Total,TJ,"47966,4","58320,11433600001","39633,002424000006","145919,51676000003"
BA,2014,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2015,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","20813,001480000003",,"20813,001480000003"
BA,2015,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2015,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2015,RA000,Renewables and biofuels,TJ,"19926,1836","21403,005336000002","128,24168400000002","41457,43062"
BA,2015,TOTAL,Total,TJ,"48542,4","65317,345704","41349,590424","155209,33612800002"
BA,2015,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2016,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","20764,978884",,"20764,978884"
BA,2016,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2016,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
BA,2016,RA000,Renewables and biofuels,TJ,"20542,489199999996","21409,662348","107,43328800000002","42059,584835999995"
BA,2016,TOTAL,Total,TJ,"50313,6","66223,87164","47906,789112","164444,260752"
BA,2016,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2017,R5110-5150_W6000RI,Primary solid biofuels,TJ,"3,6","17007,995772000002",,"17011,595772"
BA,2017,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2017,R5300,Biogases,TJ,"18,0","0,0","0,0","18,0"
BA,2017,RA000,Renewables and biofuels,TJ,"20509,869599999998","17476,833636000003","112,28997600000001","38098,993212"
BA,2017,TOTAL,Total,TJ,"51840,00000000001","60811,720884","49508,616924","162160,337808"
BA,2017,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BA,2018,R5110-5150_W6000RI,Primary solid biofuels,TJ,"3,6","47906,99845200001",,"47910,598452"
BA,2018,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BA,2018,R5300,Biogases,TJ,"25,2","0,0","0,0","25,2"
BA,2018,RA000,Renewables and biofuels,TJ,"21590,172000000006","48229,34018400001","86,70862800000002","69906,22081200001"
BA,2018,TOTAL,Total,TJ,"52027,200000000004","91543,62837600001","49262,85176400001","192833,68014"
BA,2018,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
BE,2004,R5110-5150_W6000RI,Primary solid biofuels,TJ,"1845,342","23461,989840000002",,"25307,331840000003"
BE,2004,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BE,2004,R5300,Biogases,TJ,"839,8044000000001","329,96170800000004","0,0","1169,766108"
BE,2004,RA000,Renewables and biofuels,TJ,"5596,927200000001","24930,049392","861,5597040000004","31388,536296000002"
BE,2004,TOTAL,Total,TJ,"331667,64","876428,91486","366905,110104","1575001,6649640002"
BE,2004,W6210,Renewable municipal waste,TJ,"1051,254","803,991204",,"1855,2452039999998"
BE,2005,R5110-5150_W6000RI,Primary solid biofuels,TJ,"3455,9999999999995","25778,001996000003",,"29234,001996000003"
BE,2005,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BE,2005,R5300,Biogases,TJ,"803,5308","1192,9867920000002","0,0","1996,5175920000001"
BE,2005,RA000,Renewables and biofuels,TJ,"7786,206","28666,977732","968,40684","37421,590572"
BE,2005,TOTAL,Total,TJ,"331246,8","839561,2938360001","357842,781504","1528650,87534"
BE,2005,W6210,Renewable municipal waste,TJ,"1173,0204","1284,0078240000003",,"2457,0282240000006"
BE,2006,R5110-5150_W6000RI,Primary solid biofuels,TJ,"5062,4892","28300,00471200001",,"33362,493912000005"
BE,2006,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BE,2006,R5300,Biogases,TJ,"986,3748","637,02162","0,0","1623,39642"
BE,2006,RA000,Renewables and biofuels,TJ,"10533,7404","30779,846352","918,6676560000001","42232,254408"
