geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
AT,2009,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","3,165","507,949",,,"511,11400000000003","511,11400000000003"
AT,2009,R5300,Biogases,KTOE,,"52,33043852106622","52,33043852106622","6,8679999999999986","17,63",,"24,497999999999998","0,0","0,0","0,001",,,"0,001","76,82943852106622"
AT,2009,RA000,Renewables and biofuels,KTOE,,"3958,991315563199","3958,991315563199",,,"3913,334","3913,334",,,,"697,1669999999998","882,993","697,1669999999998","8569,492315563199"
AT,2009,TOTAL,Total,KTOE,"5769,133190025796",,"5769,133190025796",,,"13227,741000000002","13227,741000000002",,,,"7716,061","7898,566","7716,061","26712,935190025797"
AT,2009,W6210,Renewable municipal waste,KTOE,,"18,40713671539123","18,40713671539123","42,63399999999999","0,0",,"42,63399999999999",,,,,,,"61,04113671539122"
AT,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"308,70851246775584","308,70851246775584","722,77","3229,3459999999995",,"3952,1159999999995",,,,,,,"4260,824512467755"
AT,2010,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","3,109","492,312",,,"495,421","495,421"
AT,2010,R5300,Biogases,KTOE,,"55,55932932072226","55,55932932072226","7,3439999999999985","21,796",,"29,139999999999997","0,0","0,0","0,002",,,"0,002","84,70132932072225"
AT,2010,RA000,Renewables and biofuels,KTOE,,"4015,2024935511604","4015,2024935511604",,,"4419,299","4419,299",,,,"677,416","871,297","677,416","9111,91749355116"
AT,2010,TOTAL,Total,KTOE,"6050,700945829751",,"6050,700945829751",,,"14281,389","14281,389",,,,"7944,800999999998","8135,251999999998","7944,800999999998","28276,89094582975"
AT,2010,W6210,Renewable municipal waste,KTOE,,"18,39750644883921","18,39750644883921","48,582","0,0",,"48,582",,,,,,,"66,9795064488392"
AT,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"319,09372312983663","319,09372312983663","763,56","3078,953",,"3842,513",,,,,,,"4161,606723129837"
AT,2011,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,6660000000000004","495,108",,,"497,774","497,774"
AT,2011,R5300,Biogases,KTOE,,"53,750214961306966","53,750214961306966","6,856","24,53",,"31,386000000000003","0,0","0,0","0,006999999999999999",,,"0,006999999999999999","85,14321496130697"
AT,2011,RA000,Renewables and biofuels,KTOE,,"4046,1808254514185","4046,1808254514185",,,"4293,118","4293,118",,,,"595,572","789,365","595,572","8934,870825451419"
AT,2011,TOTAL,Total,KTOE,"6059,282287188305",,"6059,282287188305",,,"13613,772","13613,772",,,,"7639,989","7830,218000000002","7639,989","27313,04328718831"
AT,2011,W6210,Renewable municipal waste,KTOE,,"18,192605331040415","18,192605331040415","53,784","0,0",,"53,784",,,,,,,"71,97660533104042"
AT,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"326,52020636285465","326,52020636285465","838,954","3180,328",,"4019,282",,,,,,,"4345,802206362855"
AT,2012,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,864","488,088",,,"490,952","490,952"
AT,2012,R5300,Biogases,KTOE,,"55,17386070507309","55,17386070507309","7,132999999999999","32,214",,"39,346999999999994","0,0","0,0","0,011",,,"0,011","94,53186070507309"
AT,2012,RA000,Renewables and biofuels,KTOE,,"4146,65554600172","4146,65554600172",,,"4504,139","4504,139",,,,"604,803","784,3710000000002","604,803","9255,59754600172"
AT,2012,TOTAL,Total,KTOE,"6148,944453998281",,"6148,944453998281",,,"13665,106000000002","13665,106000000002",,,,"7640,318","7816,48","7640,318","27454,368453998282"
AT,2012,W6210,Renewable municipal waste,KTOE,,"20,601719690455717","20,601719690455717","49,18600000000001","0,0",,"49,18600000000001",,,,,,,"69,78771969045573"
AT,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"328,2743766122098","328,2743766122098","836,8689999999998","3290,316",,"4127,1849999999995",,,,,,,"4455,459376612209"
AT,2013,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,357","499,918",,,"502,27500000000003","502,27500000000003"
AT,2013,R5300,Biogases,KTOE,,"53,550042992261375","53,550042992261375","6,34","35,195",,"41,535","0,0","0,0","0,018000000000000002",,,"0,018000000000000002","95,10304299226138"
AT,2013,RA000,Renewables and biofuels,KTOE,,"4257,997248495271","4257,997248495271",,,"4634,643","4634,643",,,,"620,219","800,243","620,219","9512,859248495271"
AT,2013,TOTAL,Total,KTOE,"6179,326053310405",,"6179,326053310405",,,"13862,265","13862,265",,,,"8075,0819999999985","8251,708","8075,0819999999985","28116,673053310402"
AT,2013,W6210,Renewable municipal waste,KTOE,,"21,93370593293207","21,93370593293207","46,562","0,0",,"46,562",,,,,,,"68,49570593293207"
AT,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"309,8263112639725","309,8263112639725","805,067","2986,975",,"3792,042",,,,,,,"4101,868311263973"
AT,2014,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,57","593,875",,,"596,445","596,445"
AT,2014,R5300,Biogases,KTOE,,"52,73379191745486","52,73379191745486","4,642","44,279",,"48,92100000000001","0,0","0,0","0,55",,,"0,55","102,20479191745487"
AT,2014,RA000,Renewables and biofuels,KTOE,,"4331,038693035253","4331,038693035253",,,"4332,527","4332,527",,,,"725,552","903,382","725,552","9389,117693035252"
AT,2014,TOTAL,Total,KTOE,"6095,201977644025",,"6095,201977644025",,,"12899,076","12899,076",,,,"8049,1","8223,605","8049,1","27043,37797764402"
AT,2014,W6210,Renewable municipal waste,KTOE,,"28,46251074806535","28,46251074806535","50,63","0,0",,"50,63",,,,,,,"79,09251074806535"
AT,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"319,1563198624247","319,1563198624247","846,176","3068,988",,"3915,1639999999998",,,,,,,"4234,320319862424"
AT,2015,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,451","650,6759999999998",,,"653,1269999999998","653,1269999999998"
AT,2015,R5300,Biogases,KTOE,,"54,47325881341359","54,47325881341359","3,471","46,397",,"49,867999999999995","0,0","0,0","0,416",,,"0,416","104,75725881341359"
AT,2015,RA000,Renewables and biofuels,KTOE,,"4421,001031814273","4421,001031814273",,,"4491,745","4491,745",,,,"823,6360000000002","961,631","823,6360000000002","9736,382031814273"
AT,2015,TOTAL,Total,KTOE,"6184,5457437661225",,"6184,5457437661225",,,"13484,076","13484,076",,,,"8251,089","8430,543","8251,089","27919,71074376612"
AT,2015,W6210,Renewable municipal waste,KTOE,,"25,988048151332762","25,988048151332762","57,417","0,0",,"57,417",,,,,,,"83,40504815133276"
AT,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"325,32416165090285","325,32416165090285","847,3810000000002","3178,363",,"4025,744",,,,,,,"4351,068161650903"
AT,2016,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,464","540,636",,,"543,1","543,1"
AT,2016,R5300,Biogases,KTOE,,"57,240928632846085","57,240928632846085","5,85","48,107",,"53,957","0,0","0,0","0,411",,,"0,411","111,60892863284609"
AT,2016,RA000,Renewables and biofuels,KTOE,,"4516,409888220121","4516,409888220121",,,"4632,803","4632,803",,,,"719,326","911,706","719,326","9868,538888220122"
AT,2016,TOTAL,Total,KTOE,"6227,912811693894",,"6227,912811693894",,,"13847,797","13847,797",,,,"8426,108","8611,329","8426,108","28501,817811693894"
AT,2016,W6210,Renewable municipal waste,KTOE,,"28,40619088564059","28,40619088564059","61,776","0,0",,"61,776",,,,,,,"90,1821908856406"
AT,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"338,3270851246775","338,3270851246775","902,131","3238,78",,"4140,911",,,,,,,"4479,238085124678"
AT,2017,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","2,051","476,126",,,"478,17699999999996","478,17699999999996"
AT,2017,R5300,Biogases,KTOE,,"57,63938091143594","57,63938091143594","3,813","51,992",,"55,805","0,0","0,0","0,275",,,"0,275","113,71938091143595"
