,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
200,AL,2014,R5110-5150_W6000RI,KTOE,,,,"193,202",,"0,0",
201,AL,2014,R5160,KTOE,,,,"0,0",,,
202,AL,2014,R5292,KTOE,,,,"0,0",,,
203,AL,2014,R5292P,KTOE,,,,,,"0,0",
204,AL,2014,R5292S,KTOE,,,,"0,0",,,
205,AL,2014,R5292SB,KTOE,,,,,,"0,0",
206,AL,2014,R5292SP,KTOE,,,,,,"0,0",
207,AL,2014,R5293S,KTOE,,,,"0,0",,,
208,AL,2014,R5293SB,KTOE,,,,,,"0,0",
209,AL,2014,R5293SP,KTOE,,,,,,"0,0",
210,AL,2014,R5300,KTOE,,,,"0,0",,"0,0",
211,AL,2014,R5300B,KTOE,,,,"0,0",,"0,0",
212,AL,2014,R5300B,PC,"0,0","0,0",,,,,
213,AL,2014,R5300B,TJ_GCV,,,"0,0",,,,
214,AL,2014,RA000,KTOE,,,,,"205,59900000000002",,
215,AL,2014,RA200,KTOE,,,,"0,0",,"0,0",
216,AL,2014,RA410,KTOE,,,,"12,395999999999999",,"0,0",
217,AL,2014,RA600,KTOE,,,,,,,"0,0"
218,AL,2014,TOTAL,KTOE,,,,,"663,7189999999999",,
219,AL,2014,W6210,KTOE,,,,"0,0",,"0,0",
220,AL,2015,R5110-5150_W6000RI,KTOE,,,,"204,333",,"0,0",
221,AL,2015,R5160,KTOE,,,,"0,0",,,
222,AL,2015,R5292,KTOE,,,,"0,0",,,
223,AL,2015,R5292P,KTOE,,,,,,"0,0",
224,AL,2015,R5292S,KTOE,,,,"0,0",,,
225,AL,2015,R5292SB,KTOE,,,,,,"0,0",
226,AL,2015,R5292SP,KTOE,,,,,,"0,0",
227,AL,2015,R5293S,KTOE,,,,"0,0",,,
228,AL,2015,R5293SB,KTOE,,,,,,"0,0",
229,AL,2015,R5293SP,KTOE,,,,,,"0,0",
230,AL,2015,R5300,KTOE,,,,"0,0",,"0,0",
231,AL,2015,R5300B,KTOE,,,,"0,0",,"0,0",
