geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
BA,2011,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","178,824",,"178,824"
BA,2012,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2012,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2012,RA000,Renewables and biofuels,KTOE,"443,3331040412726","178,824","3,733","625,8901040412725"
BA,2012,TOTAL,Total,KTOE,"13989,0","1231,305","1053,697","16274,002"
BA,2012,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","178,32199999999997",,"178,32199999999997"
BA,2013,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2013,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2013,RA000,Renewables and biofuels,KTOE,"463,0568357695614","178,322","2,804","644,1828357695614"
BA,2013,TOTAL,Total,KTOE,"13756,0","1239,832","899,7180000000002","15895,550000000001"
BA,2013,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","384,661",,"384,661"
BA,2014,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2014,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2014,RA000,Renewables and biofuels,KTOE,"468,34995700773857","398,753","2,535","869,6379570077385"
BA,2014,TOTAL,Total,KTOE,"13324,0","1392,9520000000002","946,618","15663,570000000002"
BA,2014,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","497,11",,"497,11"
BA,2015,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2015,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2015,RA000,Renewables and biofuels,KTOE,"475,9287188306105","511,202","3,063","990,1937188306105"
BA,2015,TOTAL,Total,KTOE,"13484,0","1560,078","987,618","16031,696"
BA,2015,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","495,96299999999997",,"495,96299999999997"
BA,2016,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2016,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
BA,2016,RA000,Renewables and biofuels,KTOE,"490,64892519346506","511,361","2,5660000000000003","1004,5759251934651"
BA,2016,TOTAL,Total,KTOE,"13976,0","1581,73","1144,234","16701,964"
BA,2016,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,08598452278589853","406,229",,"406,3149845227859"
BA,2017,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2017,R5300,Biogases,KTOE,"0,42992261392949266","0,0","0,0","0,42992261392949266"
BA,2017,RA000,Renewables and biofuels,KTOE,"489,8698194325021","417,427","2,682","909,9788194325022"
BA,2017,TOTAL,Total,KTOE,"14400,0","1452,463","1182,493","17034,956"
BA,2017,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BA,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,08598452278589853","1144,239",,"1144,3249845227858"
BA,2018,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BA,2018,R5300,Biogases,KTOE,"0,6018916595012898","0,0","0,0","0,6018916595012898"
BA,2018,RA000,Renewables and biofuels,KTOE,"515,6723989681858","1151,938","2,071","1669,681398968186"
BA,2018,TOTAL,Total,KTOE,"14452,0","2186,482","1176,623","17815,105"
BA,2018,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
BE,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"44,07523645743766","560,38",,"604,4552364574376"
BE,2004,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BE,2004,R5300,Biogases,KTOE,"20,058383490971625","7,881","0,0","27,939383490971625"
BE,2004,RA000,Renewables and biofuels,KTOE,"133,68030954428204","595,444","20,578000000000007","749,702309544282"
BE,2004,TOTAL,Total,KTOE,"92129,9","20933,145","8763,378","121826,423"
BE,2004,W6210,Renewable municipal waste,KTOE,"25,10877042132416","19,203",,"44,311770421324155"
BE,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"82,54514187446259","615,697",,"698,2421418744626"
BE,2005,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BE,2005,R5300,Biogases,KTOE,"19,192003439380912","28,494","0,0","47,68600343938091"
BE,2005,RA000,Renewables and biofuels,KTOE,"185,97033533963886","684,699","23,13","893,7993353396388"
BE,2005,TOTAL,Total,KTOE,"92013,0","20052,577","8546,928","120612,505"
BE,2005,W6210,Renewable municipal waste,KTOE,"28,017110920034394","30,668000000000006",,"58,685110920034404"
BE,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"120,91547721410146","675,9340000000002",,"796,8494772141016"
BE,2006,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BE,2006,R5300,Biogases,KTOE,"23,5591573516767","15,215","0,0","38,7741573516767"
BE,2006,RA000,Renewables and biofuels,KTOE,"251,59406706792777","735,164","21,942","1008,7000670679278"
BE,2006,TOTAL,Total,KTOE,"94505,0","19804,94","8727,601","123037,541"
BE,2006,W6210,Renewable municipal waste,KTOE,"27,442648323301807","21,711",,"49,15364832330181"
BE,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"156,3208082545142","802,953",,"959,2738082545142"
BE,2007,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BE,2007,R5300,Biogases,KTOE,"24,81711092003439","6,091","0,0","30,908110920034392"
BE,2007,RA000,Renewables and biofuels,KTOE,"294,65434221840064","832,148","23,62","1150,4223422184004"
BE,2007,TOTAL,Total,KTOE,"94307,25","18269,992","9015,9","121593,14199999999"
BE,2007,W6210,Renewable municipal waste,KTOE,"25,523043852106625","0,311",,"25,834043852106625"
BE,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"213,5842648323302","930,281",,"1143,8652648323302"
BE,2008,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
BE,2008,R5300,Biogases,KTOE,"28,67695614789339","13,733","0,0","42,40995614789339"
BE,2008,RA000,Renewables and biofuels,KTOE,"372,4093723129837","984,205","25,023000000000003","1381,6373723129836"
BE,2008,TOTAL,Total,KTOE,"94180,022","19614,345","9045,4","122839,76699999999"
BE,2008,W6210,Renewable municipal waste,KTOE,"31,810146173688732","2,651",,"34,46114617368873"
BE,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"228,4952708512468","962,31",,"1190,8052708512469"
