siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5110-5150_W6000RI,GHP_RED,KTOE,HR	55.632 	35.786 	22.213 	14.856 	5.876 	5.923 	2.436 	0.740 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,HU	97.855 	112.353 	123.531 	105.761 	82.736 	91.597 	58.923 	62.219 	56.439 	27.348 	20.636 	17.340 	11.417 	10.772 	3.415 
R5110-5150_W6000RI,GHP_RED,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,IT	538.171 	543.886 	541.559 	530.739 	592.816 	517.412 	345.180 	245.940 	147.034 	60.547 	86.486 	80.969 	80.825 	92.863 	83.381 
R5110-5150_W6000RI,GHP_RED,KTOE,LT	531.838 	545.285 	488.440 	445.448 	355.450 	268.272 	240.136 	187.852 	185.512 	180.854 	164.087 	135.043 	133.180 	114.455 	113.906 
R5110-5150_W6000RI,GHP_RED,KTOE,LU	36.201 	22.329 	13.341 	13.026 	10.993 	3.335 	2.466 	2.310 	1.937 	1.943 	1.557 	1.257 	1.032 	0.945 	0.489 
R5110-5150_W6000RI,GHP_RED,KTOE,LV	309.517 	292.078 	251.361 	200.726 	185.201 	153.888 	109.391 	90.642 	101.199 	95.562 	100.578 	102.202 	107.505 	102.919 	108.484 
R5110-5150_W6000RI,GHP_RED,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	3.153 
R5110-5150_W6000RI,GHP_RED,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,NL	160.766 	101.262 	49.489 	39.039 	25.079 	31.934 	34.776 	45.715 	48.987 	39.147 	35.445 	34.561 	26.942 	27.730 	15.788 
R5110-5150_W6000RI,GHP_RED,KTOE,NO	127.412 	112.879 	106.573 	93.437 	75.093 	97.951 	77.291 	65.921 	77.314 	45.166 	37.093 	35.063 	36.520 	31.432 	25.103 
