siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7100,FC_TRA_RAIL_E_RED,KTOE,EU27_2020	1506.937 	1473.962 	1413.566 	1296.488 	1205.775 	1152.610 	1058.527 	1044.242 	925.139 	865.892 	832.517 	824.495 	792.430 	818.586 	833.744 
E7100,FC_TRA_RAIL_E_RED,KTOE,EU28	1629.964 	1592.492 	1525.947 	1398.517 	1301.763 	1239.287 	1140.139 	1118.676 	989.756 	926.965 	889.519 	880.097 	846.781 	873.715 	888.859 
E7100,FC_TRA_RAIL_E_RED,KTOE,FI	22.569 	21.021 	18.856 	18.615 	18.286 	18.523 	17.529 	17.165 	17.353 	15.679 	16.674 	16.757 	15.503 	14.883 	14.469 
E7100,FC_TRA_RAIL_E_RED,KTOE,FR	239.311 	246.772 	239.017 	228.457 	211.329 	201.245 	181.878 	173.989 	160.178 	153.048 	151.327 	141.409 	136.212 	134.561 	136.785 
E7100,FC_TRA_RAIL_E_RED,KTOE,HR	9.538 	8.926 	8.441 	7.742 	6.866 	6.885 	7.420 	7.404 	7.105 	7.041 	7.544 	7.563 	7.319 	6.987 	6.596 
E7100,FC_TRA_RAIL_E_RED,KTOE,HU	30.248 	29.905 	28.162 	26.296 	24.424 	24.022 	18.012 	19.872 	17.650 	18.237 	17.340 	17.232 	16.361 	14.956 	14.915 
E7100,FC_TRA_RAIL_E_RED,KTOE,IE	1.263 	1.146 	1.100 	0.948 	0.845 	0.839 	0.824 	0.807 	0.727 	0.680 	0.786 	0.719 	0.772 	0.804 	0.689 
E7100,FC_TRA_RAIL_E_RED,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,IT	166.736 	158.658 	156.495 	137.428 	117.178 	101.900 	87.860 	83.578 	73.107 	67.709 	66.006 	62.159 	60.528 	63.308 	61.815 
E7100,FC_TRA_RAIL_E_RED,KTOE,LT	0.431 	0.298 	0.296 	0.254 	0.238 	0.201 	0.202 	0.178 	0.176 	0.167 	0.145 	0.113 	0.109 	0.109 	0.109 
E7100,FC_TRA_RAIL_E_RED,KTOE,LU	3.516 	3.405 	3.208 	3.018 	2.658 	2.587 	2.358 	2.303 	1.909 	1.705 	1.645 	1.660 	1.513 	1.289 	1.028 
E7100,FC_TRA_RAIL_E_RED,KTOE,LV	3.006 	1.768 	1.711 	1.674 	1.543 	1.499 	1.446 	1.443 	1.332 	1.328 	1.494 	1.443 	1.541 	1.581 	1.502 
E7100,FC_TRA_RAIL_E_RED,KTOE,ME	0.841 	0.866 	0.929 	0.844 	0.662 	0.715 	0.590 	0.521 	0.724 	0.582 	0.713 	0.807 	0.314 	0.314 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,MK	0.305 	0.348 	0.347 	0.392 	0.411 	0.341 	0.311 	0.302 	0.319 	0.319 	0.363 	0.367 	0.327 	0.287 	0.232 
E7100,FC_TRA_RAIL_E_RED,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_RAIL_E_RED,KTOE,NL	41.943 	39.890 	40.033 	35.610 	35.609 	34.438 	31.938 	30.741 	27.864 	25.359 	23.483 	22.337 	21.942 	21.997 	22.529 
E7100,FC_TRA_RAIL_E_RED,KTOE,NO	50.477 	49.613 	54.084 	54.428 	50.645 	51.935 	51.445 	46.432 	48.753 	55.956 	58.641 	53.361 	54.588 	50.629 	49.787 
E7100,FC_TRA_RAIL_E_RED,KTOE,PL	83.046 	78.136 	72.945 	64.597 	58.411 	57.256 	52.625 	52.677 	47.302 	43.414 	45.979 	45.886 	42.343 	48.429 	52.891 
E7100,FC_TRA_RAIL_E_RED,KTOE,PT	22.254 	21.602 	18.992 	12.666 	12.050 	11.494 	13.513 	12.628 	13.912 	13.408 	12.650 	11.863 	11.964 	11.116 	10.928 
E7100,FC_TRA_RAIL_E_RED,KTOE,RO	36.655 	38.224 	35.479 	32.967 	28.747 	28.401 	29.960 	27.813 	21.268 	20.108 	20.480 	22.960 	20.972 	24.101 	25.910 
E7100,FC_TRA_RAIL_E_RED,KTOE,RS	9.720 	9.553 	9.163 	8.442 	8.237 	11.313 	11.922 	12.851 	4.980 	10.710 	5.358 	4.904 	4.069 	3.910 	3.799 
E7100,FC_TRA_RAIL_E_RED,KTOE,SE	143.516 	139.945 	144.800 	137.754 	134.413 	140.985 	128.749 	132.232 	110.974 	111.545 	105.613 	128.189 	126.999 	124.050 	131.577 
E7100,FC_TRA_RAIL_E_RED,KTOE,SI	6.213 	6.335 	4.670 	4.125 	3.563 	3.897 	4.208 	4.557 	4.225 	3.501 	4.564 	4.632 	4.732 	4.706 	4.530 
E7100,FC_TRA_RAIL_E_RED,KTOE,SK	12.893 	12.620 	12.601 	11.774 	10.363 	9.834 	8.081 	8.219 	7.389 	6.438 	6.913 	7.248 	7.191 	6.741 	8.556 
E7100,FC_TRA_RAIL_E_RED,KTOE,TR	30.596 	28.067 	23.132 	20.716 	17.265 	14.243 	13.018 	9.527 	7.634 	6.926 	4.694 	5.211 	5.396 	5.444 	5.516 
E7100,FC_TRA_RAIL_E_RED,KTOE,UK	123.026 	118.531 	112.380 	102.029 	95.989 	86.677 	81.612 	74.434 	64.617 	61.074 	57.002 	55.602 	54.351 	55.129 	55.115 
E7100,FC_TRA_RAIL_E_RED,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,AT	0.915 	0.883 	0.858 	0.840 	0.831 	0.850 	0.852 	0.891 	0.858 	0.830 	0.777 	0.717 	0.728 	0.719 	0.795 
E7100,FC_TRA_ROAD_E_RED,KTOE,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,BE	1.502 	1.152 	0.681 	0.291 	0.162 	0.060 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,BG	0.926 	1.343 	1.356 	1.247 	1.860 	1.064 	0.733 	1.494 	1.229 	1.184 	0.755 	0.761 	0.696 	0.669 	0.723 
E7100,FC_TRA_ROAD_E_RED,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,CZ	1.760 	1.705 	1.702 	1.524 	1.406 	1.345 	1.264 	1.228 	1.165 	1.048 	1.031 	0.987 	0.942 	0.928 	0.969 
E7100,FC_TRA_ROAD_E_RED,KTOE,DE	6.299 	4.169 	2.618 	1.720 	1.098 	0.723 	0.457 	0.348 	0.248 	0.213 	0.175 	0.155 	0.138 	0.146 	0.154 
E7100,FC_TRA_ROAD_E_RED,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,EA19	40.879 	32.724 	25.204 	17.558 	12.332 	10.262 	7.012 	6.435 	5.460 	4.489 	4.377 	4.482 	4.831 	4.763 	4.741 
E7100,FC_TRA_ROAD_E_RED,KTOE,EE	0.441 	0.408 	0.419 	0.392 	0.389 	0.421 	0.403 	0.391 	0.367 	0.364 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,EL	0.607 	0.619 	0.567 	0.577 	0.519 	0.442 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_ROAD_E_RED,KTOE,ES	3.589 	1.843 	1.299 	0.947 	0.691 	0.597 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
