siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,NMLPRD_MIX,GWH,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_PURE,GWH,AL	7061.990 	6771.776 	6354.823 	5778.483 	5530.428 	5816.566 	5260.384 	4928.748 	4938.965 	4667.820 	4567.255 	4529.437 	4552.667 	4425.133 	4256.800 
E7000,NMLPRD_PURE,GWH,AT	36541.301 	36114.440 	36429.096 	36559.594 	36530.708 	36535.278 	36106.941 	35587.834 	35565.583 	35315.960 	35298.482 	35428.499 	34801.373 	34557.313 	33433.747 
E7000,NMLPRD_PURE,GWH,BA	5614.803 	5442.119 	5459.973 	5319.784 	5247.776 	5197.751 	5015.898 	5223.245 	5280.419 	4864.488 	4677.004 	4509.819 	4452.610 	4408.076 	4222.126 
E7000,NMLPRD_PURE,GWH,BE	311.337 	304.819 	333.409 	330.353 	369.993 	370.984 	380.638 	379.069 	382.511 	363.008 	371.194 	360.398 	351.220 	338.200 	371.076 
E7000,NMLPRD_PURE,GWH,BG	3900.948 	3859.895 	3748.197 	3814.735 	3837.844 	3780.077 	3711.141 	3580.348 	3566.125 	3388.159 	3247.632 	3023.282 	2927.525 	2822.371 	2672.026 
E7000,NMLPRD_PURE,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_PURE,GWH,CZ	2235.928 	2228.037 	2279.294 	2290.974 	2288.313 	2281.102 	2181.254 	2142.001 	2167.848 	2111.640 	2045.173 	2003.522 	1953.549 	1872.621 	1791.044 
E7000,NMLPRD_PURE,GWH,DE	20241.543 	20331.835 	20574.218 	20794.481 	21042.498 	21284.848 	21235.541 	21309.977 	20888.895 	21321.959 	20756.895 	20730.356 	20917.427 	20906.486 	21423.596 
E7000,NMLPRD_PURE,GWH,DK	20.117 	20.300 	20.989 	15.792 	20.000 	20.891 	22.707 	22.736 	22.625 	22.589 	23.522 	23.469 	23.282 	28.619 	29.139 
E7000,NMLPRD_PURE,GWH,EA19	229446.548 	227758.036 	229113.854 	230088.791 	231381.994 	230190.504 	227089.635 	228512.703 	228382.956 	225605.568 	226147.497 	225800.198 	226322.712 	227932.913 	227864.775 
E7000,NMLPRD_PURE,GWH,EE	32.772 	31.772 	24.689 	22.356 	17.152 	24.560 	22.858 	12.534 	12.638 	12.654 	7.515 	5.655 	4.200 	3.300 	1.467 
E7000,NMLPRD_PURE,GWH,EL	4712.006 	4656.624 	4593.616 	4408.723 	4305.015 	4103.610 	3970.918 	3944.767 	4002.053 	3796.226 	3640.102 	3574.139 	3563.559 	3399.916 	3239.626 
E7000,NMLPRD_PURE,GWH,ES	28203.154 	28731.299 	29115.903 	29533.181 	29719.304 	29023.024 	27551.982 	28790.949 	29703.407 	28379.069 	28726.593 	28936.220 	28713.673 	28845.015 	29277.657 
E7000,NMLPRD_PURE,GWH,EU27_2020	327680.746 	325280.936 	326933.535 	328355.500 	328066.799 	329121.596 	327020.850 	328614.167 	328528.102 	324942.621 	323858.608 	324340.632 	323586.709 	325253.011 	324287.433 
E7000,NMLPRD_PURE,GWH,EU28	332654.062 	330090.843 	331566.361 	332725.448 	331912.508 	332615.407 	330243.604 	331534.568 	331092.422 	327316.605 	325931.041 	326014.874 	324978.257 	326387.756 	325165.945 
