id,geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
2534,EA19,2009,RA420,GWH,,"13897,141000000001",,,
2535,EA19,2009,RA500,GWH,,"448,19699999999995",,,
2536,EA19,2009,TOTAL,GWH,,,"2289692,963",,
2537,EA19,2009,W6210,GWH,,"11595,573999999999",,,
2538,EA19,2010,E7000,GWH,"17410,095",,,"15635,662","228382,956"
2539,EA19,2010,R5110-5150_W6000RI,GWH,,"41759,029",,,
2540,EA19,2010,R5292P,GWH,,"4708,893",,,
2541,EA19,2010,R5292SB,GWH,,"0,0",,,
2542,EA19,2010,R5292SP,GWH,,"0,0",,,
2543,EA19,2010,R5293SB,GWH,,"0,0",,,
2544,EA19,2010,R5293SP,GWH,,"0,0",,,
2545,EA19,2010,R5300,GWH,,"24617,048",,,
2546,EA19,2010,R5300B,GWH,,"15,412",,,
2547,EA19,2010,RA000,GWH,,"486906,93",,,
2548,EA19,2010,RA100,GWH,,"244018,61800000002",,,
2549,EA19,2010,RA200,GWH,,"5602,409000000001",,,
2550,EA19,2010,RA300,GWH,,"130500,6",,,
2551,EA19,2010,RA410,GWH,,"761,2",,,
2552,EA19,2010,RA420,GWH,,"21816,662999999997",,,
2553,EA19,2010,RA500,GWH,,"476,397",,,
2554,EA19,2010,TOTAL,GWH,,,"2390512,292",,
2555,EA19,2010,W6210,GWH,,"12630,661",,,
2556,EA19,2011,E7000,GWH,"13279,362",,,"15560,378999999999","228512,703"
2557,EA19,2011,R5110-5150_W6000RI,GWH,,"43811,292",,,
2558,EA19,2011,R5292P,GWH,,"3328,9829999999997",,,
2559,EA19,2011,R5292SB,GWH,,"0,0",,,
2560,EA19,2011,R5292SP,GWH,,"3294,862",,,
2561,EA19,2011,R5293SB,GWH,,"0,0",,,
2562,EA19,2011,R5293SP,GWH,,"0,0",,,
2563,EA19,2011,R5300,GWH,,"30018,814",,,
2564,EA19,2011,R5300B,GWH,,"10,97",,,
2565,EA19,2011,RA000,GWH,,"528887,965",,,
2566,EA19,2011,RA100,GWH,,"244073,082",,,
2567,EA19,2011,RA200,GWH,,"5946,971",,,
2568,EA19,2011,RA300,GWH,,"142761,483",,,
2569,EA19,2011,RA410,GWH,,"1959,0",,,
2570,EA19,2011,RA420,GWH,,"43017,523",,,
2571,EA19,2011,RA500,GWH,,"477,278",,,
2572,EA19,2011,TOTAL,GWH,,,"2349873,484",,
2573,EA19,2011,W6210,GWH,,"13516,69",,,
2574,EA19,2012,E7000,GWH,"13970,032",,,"15656,99","227089,635"
2575,EA19,2012,R5110-5150_W6000RI,GWH,,"45418,949",,,
2576,EA19,2012,R5292P,GWH,,"3517,7209999999995",,,
2577,EA19,2012,R5292SB,GWH,,"0,0",,,
2578,EA19,2012,R5292SP,GWH,,"3272,716",,,
2579,EA19,2012,R5293SB,GWH,,"0,0",,,
2580,EA19,2012,R5293SP,GWH,,"0,0",,,
2581,EA19,2012,R5300,GWH,,"37922,221",,,
2582,EA19,2012,R5300B,GWH,,"30,476999999999997",,,
2583,EA19,2012,RA000,GWH,,"572016,302",,,
2584,EA19,2012,RA100,GWH,,"242746,625",,,
2585,EA19,2012,RA200,GWH,,"5820,339",,,
2586,EA19,2012,RA300,GWH,,"155460,177",,,
2587,EA19,2012,RA410,GWH,,"3775,0429999999997",,,
2588,EA19,2012,RA420,GWH,,"63297,04",,,
2589,EA19,2012,RA500,GWH,,"457,98900000000003",,,
2590,EA19,2012,TOTAL,GWH,,,"2348691,594",,
2591,EA19,2012,W6210,GWH,,"13814,726999999999",,,
2592,EA19,2013,E7000,GWH,"16218,444",,,"15437,803","230190,504"
2593,EA19,2013,R5110-5150_W6000RI,GWH,,"46461,537000000004",,,
2594,EA19,2013,R5292P,GWH,,"4172,856",,,
2595,EA19,2013,R5292SB,GWH,,"0,0",,,
2596,EA19,2013,R5292SP,GWH,,"4032,532",,,
2597,EA19,2013,R5293SB,GWH,,"0,0",,,
2598,EA19,2013,R5293SP,GWH,,"384,593",,,
2599,EA19,2013,R5300,GWH,,"43386,890999999996",,,
2600,EA19,2013,R5300B,GWH,,"60,201",,,
2601,EA19,2013,RA000,GWH,,"608114,377",,,
2602,EA19,2013,RA100,GWH,,"245628,306",,,
2603,EA19,2013,RA200,GWH,,"6026,268",,,
2604,EA19,2013,RA300,GWH,,"168243,66600000003",,,
2605,EA19,2013,RA410,GWH,,"4769,747",,,
2606,EA19,2013,RA420,GWH,,"74930,897",,,
2607,EA19,2013,RA500,GWH,,"413,574",,,
2608,EA19,2013,TOTAL,GWH,,,"2329530,403",,
2609,EA19,2013,W6210,GWH,,"14160,758",,,
2610,EA19,2014,E7000,GWH,"16442,947",,,"15647,516000000001","231381,99399999998"
2611,EA19,2014,R5110-5150_W6000RI,GWH,,"45269,185",,,
2612,EA19,2014,R5292P,GWH,,"4769,467000000001",,,
2613,EA19,2014,R5292SB,GWH,,"0,0",,,
2614,EA19,2014,R5292SP,GWH,,"4705,5",,,
2615,EA19,2014,R5293SB,GWH,,"0,0",,,
2616,EA19,2014,R5293SP,GWH,,"576,033",,,
2617,EA19,2014,R5300,GWH,,"46508,734000000004",,,
2618,EA19,2014,R5300B,GWH,,"83,584",,,
2619,EA19,2014,RA000,GWH,,"635137,9079999999",,,
2620,EA19,2014,RA100,GWH,,"247029,51100000003",,,
2621,EA19,2014,RA200,GWH,,"6303,210999999999",,,
2622,EA19,2014,RA300,GWH,,"181260,776",,,
2623,EA19,2014,RA410,GWH,,"5454,806",,,
2624,EA19,2014,RA420,GWH,,"82971,109",,,
2625,EA19,2014,RA500,GWH,,"480,533",,,
2626,EA19,2014,TOTAL,GWH,,,"2269744,5",,
2627,EA19,2014,W6210,GWH,,"15070,958999999999",,,
2628,EA19,2015,E7000,GWH,"13672,947",,,"15838,469","230088,79100000003"
2629,EA19,2015,R5110-5150_W6000RI,GWH,,"46814,41",,,
2630,EA19,2015,R5292P,GWH,,"5457,673000000001",,,
2631,EA19,2015,R5292SB,GWH,,"0,0",,,
2632,EA19,2015,R5292SP,GWH,,"5410,448",,,
2633,EA19,2015,R5293SB,GWH,,"0,0",,,
2634,EA19,2015,R5293SP,GWH,,"527,347",,,
2635,EA19,2015,R5300,GWH,,"49152,85",,,
2636,EA19,2015,R5300B,GWH,,"114,17299999999999",,,
2637,EA19,2015,RA000,GWH,,"666438,954",,,
2638,EA19,2015,RA100,GWH,,"245927,26",,,
2639,EA19,2015,RA200,GWH,,"6613,5380000000005",,,
2640,EA19,2015,RA300,GWH,,"202595,515",,,
2641,EA19,2015,RA410,GWH,,"5593,236999999999",,,
2642,EA19,2015,RA420,GWH,,"88679,214",,,
2643,EA19,2015,RA500,GWH,,"487,445",,,
2644,EA19,2015,TOTAL,GWH,,,"2305643,839",,
2645,EA19,2015,W6210,GWH,,"15050,864",,,
2646,EA19,2016,E7000,GWH,"16778,789",,,"16310,163","229113,854"
2647,EA19,2016,R5110-5150_W6000RI,GWH,,"47865,374",,,
2648,EA19,2016,R5292P,GWH,,"5240,319",,,
2649,EA19,2016,R5292SB,GWH,,"0,0",,,
2650,EA19,2016,R5292SP,GWH,,"5111,732",,,
2651,EA19,2016,R5293SB,GWH,,"0,0",,,
2652,EA19,2016,R5293SP,GWH,,"699,9860000000001",,,
2653,EA19,2016,R5300,GWH,,"50091,695",,,
2654,EA19,2016,R5300B,GWH,,"133,704",,,
2655,EA19,2016,RA000,GWH,,"686306,4720000001",,,
2656,EA19,2016,RA100,GWH,,"245424,017",,,
2657,EA19,2016,RA200,GWH,,"6732,776",,,
2658,EA19,2016,RA300,GWH,,"220561,603",,,
2659,EA19,2016,RA410,GWH,,"5579,2",,,
2660,EA19,2016,RA420,GWH,,"88797,54199999999",,,
2661,EA19,2016,RA500,GWH,,"500,561",,,
2662,EA19,2016,TOTAL,GWH,,,"2322653,87",,
2663,EA19,2016,W6210,GWH,,"15508,266000000001",,,
2664,EA19,2017,E7000,GWH,"11200,16",,,"16341,178999999998","227758,03600000002"
2665,EA19,2017,R5110-5150_W6000RI,GWH,,"49169,782",,,
